,network,iter,epoch,type,loss,accuracy
313,I,4,14,train,0.05935075718473282,0.9842705995264188
314,I,4,15,train,0.05924665961513002,0.984373405951077
315,I,4,16,train,0.05927061948090734,0.9842705983008684
316,I,4,17,train,0.059213240881971045,0.9845790178689754
317,I,4,18,train,0.05922030713445569,0.9847846308653581
318,I,4,19,train,0.05917449359172808,0.9845790189964818
319,I,4,20,train,0.05911695896059511,0.984784630816336
320,I,4,21,train,0.05914467665886443,0.9844762137973738
321,I,4,22,train,0.059122376029802956,0.9847846319928645
322,I,4,23,train,0.05907557195356403,0.9840649852064416
323,I,4,24,train,0.05909723159409481,0.9845790202710542
324,I,4,25,train,0.05904937112824368,0.9847846333164589
325,I,4,26,train,0.059041270484298185,0.9847846345910313
326,I,4,27,train,0.059029005306463725,0.9845790190945258
327,I,4,28,train,0.059009893175658405,0.9847846333654809
328,I,4,29,train,0.059037472384623625,0.9847846346400534
329,I,4,30,train,0.05906117364336803,0.984784630767314
330,I,4,31,train,0.05893500675930324,0.9845790214966046
331,I,4,32,train,0.05895826128979093,0.984579016594403
332,I,4,33,train,0.05892434217042664,0.9848874374370824
333,I,4,34,train,0.05892187387204629,0.9849902464108856
334,I,4,35,train,0.058917889095191,0.9846818243426557
335,I,4,36,train,0.05891070294394895,0.9847846332674368
336,I,4,37,train,0.058894606491172986,0.9847846331693928
337,I,4,38,train,0.058889842314803244,0.9847846296888296
338,I,4,39,train,0.05885656066778888,0.9847846332184148
339,I,4,40,train,0.058863172094862616,0.9847846320909085
340,I,4,41,train,0.05884651395317902,0.9847846320418865
341,I,4,42,train,0.05885449473101654,0.9846818255682062
342,I,4,43,train,0.05884135392402296,0.9847846344929873
343,I,4,44,train,0.05881154192189335,0.9846818256172282
344,I,4,45,train,0.05876913271370252,0.9847846309143801
345,I,4,46,train,0.058799810828592224,0.9846818230680833
346,I,4,47,train,0.058761854821968704,0.9848874386626328
347,I,4,48,train,0.058764971428096655,0.9847846308653581
348,I,4,49,train,0.05875340849544133,0.9847846296398076
349,I,4,50,train,0.058700624695199974,0.9848874397901393
350,I,4,1,validation,0.050087448986308354,0.9953746575100569
351,I,4,2,validation,0.05013855949535735,0.9953746575100569
352,I,4,3,validation,0.050422936105656124,0.9953746575100569
353,I,4,4,validation,0.05080223235934473,0.9953746575100569
354,I,4,5,validation,0.051385286102906234,0.9953746575100569
355,I,4,6,validation,0.05174029161617294,0.9953746575100569
356,I,4,7,validation,0.05189796498650125,0.9953746575100569
357,I,4,8,validation,0.050893501875891714,0.9953746575100569
358,I,4,9,validation,0.05171614798368709,0.9953746575100569
359,I,4,10,validation,0.05154302170863944,0.9953746575100569
360,I,4,11,validation,0.052794404680561534,0.9953746575100569
361,I,4,12,validation,0.051880753283945896,0.9953746575100569
362,I,4,13,validation,0.052291340707634575,0.9953746575100569
363,I,4,14,validation,0.052858553253024625,0.9953746575100569
364,I,4,15,validation,0.053259770121859604,0.9953746575100569
365,I,4,16,validation,0.0537218240676745,0.9953746575100569
366,I,4,17,validation,0.053080110628104867,0.9953746575100569
367,I,4,18,validation,0.053417009342298996,0.9953746575100569
368,I,4,19,validation,0.053521379430745586,0.9953746575100569
369,I,4,20,validation,0.054046807857564154,0.9953746575100569
370,I,4,21,validation,0.054493768422073485,0.9953746575100569
371,I,4,22,validation,0.053650420319939864,0.9953746575100569
372,I,4,23,validation,0.05494791855896667,0.9953746575100569
373,I,4,24,validation,0.05459818308805758,0.9953746575100569
374,I,4,25,validation,0.0552956760791195,0.9953746575100569
375,I,4,26,validation,0.0554459236337606,0.9953746575100569
376,I,4,27,validation,0.055391313732368226,0.9953746575100569
377,I,4,28,validation,0.055724377581176834,0.9953746575100569
378,I,4,29,validation,0.05515556912032446,0.9953746575100569
379,I,4,30,validation,0.05490694252927473,0.9953746575100569
380,I,4,31,validation,0.054860868279186355,0.9953746575100569
381,I,4,32,validation,0.05557649242990003,0.9953746575100569
382,I,4,33,validation,0.05628630862893084,0.9953746575100569
383,I,4,34,validation,0.0554557766880156,0.9953746575100569
384,I,4,35,validation,0.05669313232028025,0.9953746575100569
385,I,4,36,validation,0.05537355828082153,0.9953746575100569
386,I,4,37,validation,0.055854177889730745,0.9953746575100569
387,I,4,38,validation,0.05645068145845349,0.9953746575100569
388,I,4,39,validation,0.055668949720533316,0.9953746575100569
389,I,4,40,validation,0.05582559161519487,0.9953746575100569
390,I,4,41,validation,0.05563504136992174,0.9953746575100569
391,I,4,42,validation,0.056045514878094935,0.9953746575100569
392,I,4,43,validation,0.05612590228868424,0.9953746575100569
393,I,4,44,validation,0.05709198428486766,0.9953746575100569
394,I,4,45,validation,0.05836486275941926,0.9953746575100569
395,I,4,46,validation,0.056615007015924715,0.9953746575100569
396,I,4,47,validation,0.057210928364107634,0.9953746575100569
397,I,4,48,validation,0.05674270793191863,0.9953746575100569
398,I,4,49,validation,0.057165360803576745,0.9953746575100569
399,I,4,50,validation,0.05654688165886035,0.9953746575100569
400,I,5,1,train,0.06353112215535656,0.9841677905035936
401,I,5,2,train,0.06339459730096034,0.98406498638297
402,I,5,3,train,0.06332915513471292,0.9843734072746715
403,I,5,4,train,0.06322722474460282,0.9842706018304536
